account,date,classification,daily_pnl,win_rate,avg_trade_size_usd,trades_per_day,long_ratio,frequency_segment,strategy_signal,pnl_bucket,sentiment_flag,behavior_cluster
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,Fear,100502.420808,0.3903846153846154,3430.149134615385,2080,0.5855769230769231,Frequent,Reduce trade frequency,Neutral,0,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,Greed,49180.714882,0.418665400142484,1636.15022559962,4211,0.56946093564474,Frequent,No action,Neutral,1,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,Fear,40314.808014,0.32003450506793185,1157.8793541082598,9274,0.6609877075695493,Frequent,Reduce trade frequency,Neutral,0,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,Greed,67900.247545,0.5477031802120141,1684.2025795053005,283,0.4416961130742049,Infrequent,No action,Neutral,1,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,Fear,19451.742477,0.8842105263157894,820.6771578947369,95,0.0,Infrequent,No action,Loss,0,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,Greed,20925.513222,0.5526315789473685,3387.3391578947367,190,0.4421052631578947,Infrequent,Reduce position size,Neutral,1,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,Fear,8751.751449,0.2692307692307692,3072.9576923076925,182,0.7307692307692307,Infrequent,No action,Loss,0,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,55.01524,0.2222222222222222,1862.9299999999998,9,0.7777777777777778,Infrequent,No action,Loss,1,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,21703.816512999998,0.3238095238095238,8441.060742857142,525,0.5657142857142857,Infrequent,No action,Neutral,0,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,155.50335699999994,0.2751677852348993,11034.799511025887,1043,0.46883988494726747,Frequent,Reduce position size,Loss,1,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,Greed,1421755.845871,0.5670347003154574,2166.171861198738,1268,0.1167192429022082,Frequent,No action,Profit,1,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,Fear,553818.000465,0.3910569105691057,1818.587241192412,7380,0.4711382113821138,Frequent,Reduce trade frequency,Profit,0,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,Fear,22488.500821,0.4386109962794543,22504.555828854896,4838,0.48945845390657294,Frequent,Reduce trade frequency,Neutral,0,2
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,Fear,940157.212682,0.46753185464841907,3210.7751864086836,21190,0.5283152430391694,Frequent,Reduce trade frequency,Profit,0,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,Greed,11671.68,0.15355805243445692,2725.7805992509366,267,0.18352059925093633,Infrequent,No action,Loss,1,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,Fear,325441.97721599997,0.3722297602894618,8103.972912709181,2211,0.4767073722297603,Frequent,Reduce trade frequency,Profit,0,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,Greed,684215.002602,0.5692603460487706,2693.2837964180917,9883,0.3128604674693919,Frequent,No action,Profit,1,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,Fear,126967.976166,0.3848636073693295,1554.8373344339798,26651,0.4715770515177667,Frequent,Reduce trade frequency,Profit,0,0
